2016
Age,"Male % of Population","Female % of Population"
2009
Age,"Male % of Population","Female % of Population"
0,0.67%,0.64%
1,0.68%,0.65%
2,0.68%,0.65%
3,0.67%,0.64%
4,0.67%,0.64%
5,0.68%,0.65%
6,0.67%,0.64%
7,0.67%,0.64%
8,0.68%,0.65%
9,0.67%,0.63%
10,0.69%,0.66%
11,0.68%,0.65%
12,0.68%,0.66%
13,0.69%,0.66%
14,0.7%,0.66%
15,0.71%,0.68%
16,0.73%,0.69%
17,0.74%,0.7%
18,0.76%,0.72%
19,0.77%,0.73%
20,0.73%,0.7%
21,0.72%,0.69%
22,0.7%,0.67%
23,0.7%,0.67%
24,0.71%,0.68%
25,0.7%,0.67%
26,0.69%,0.68%
27,0.69%,0.69%
28,0.69%,0.69%
29,0.68%,0.68%
30,0.68%,0.66%
31,0.64%,0.63%
32,0.64%,0.64%
33,0.62%,0.62%
34,0.64%,0.64%
35,0.62%,0.62%
36,0.63%,0.64%
37,0.66%,0.67%
38,0.7%,0.71%
39,0.72%,0.72%
40,0.67%,0.68%
41,0.66%,0.67%
42,0.66%,0.67%
43,0.68%,0.69%
44,0.72%,0.73%
45,0.73%,0.74%
46,0.73%,0.75%
47,0.73%,0.75%
48,0.74%,0.76%
49,0.76%,0.77%
50,0.71%,0.74%
51,0.72%,0.75%
52,0.71%,0.74%
53,0.68%,0.71%
54,0.69%,0.72%
55,0.64%,0.68%
56,0.63%,0.67%
57,0.6%,0.64%
58,0.59%,0.63%
59,0.58%,0.62%
60,0.55%,0.59%
61,0.55%,0.59%
62,0.58%,0.62%
63,0.43%,0.47%
64,0.42%,0.46%
65,0.41%,0.46%
66,0.42%,0.47%
67,0.37%,0.41%
68,0.34%,0.38%
69,0.32%,0.37%
70,0.3%,0.35%
71,0.29%,0.34%
72,0.27%,0.32%
73,0.26%,0.31%
74,0.25%,0.31%
75,0.22%,0.27%
76,0.22%,0.28%
77,0.21%,0.27%
78,0.2%,0.26%
79,0.19%,0.26%
80,0.17%,0.24%
81,0.16%,0.24%
82,0.15%,0.23%
83,0.13%,0.21%
84,0.12%,0.2%
85,0.11%,0.19%
86,0.09%,0.17%
87,0.08%,0.15%
88,0.07%,0.13%
89,0.06%,0.12%
90,0.04%,0.09%
91,0.03%,0.08%
92,0.02%,0.06%
93,0.02%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2008
Age,"Male % of Population","Female % of Population"
0,0.69%,0.67%
1,0.69%,0.66%
2,0.67%,0.64%
3,0.67%,0.64%
4,0.68%,0.65%
5,0.68%,0.65%
6,0.67%,0.64%
7,0.68%,0.66%
8,0.66%,0.63%
9,0.66%,0.63%
10,0.69%,0.66%
11,0.68%,0.65%
12,0.7%,0.67%
13,0.71%,0.67%
14,0.71%,0.67%
15,0.73%,0.69%
16,0.74%,0.71%
17,0.76%,0.71%
18,0.78%,0.73%
19,0.75%,0.71%
20,0.72%,0.69%
21,0.72%,0.68%
22,0.71%,0.68%
23,0.71%,0.68%
24,0.7%,0.67%
25,0.71%,0.69%
26,0.7%,0.69%
27,0.7%,0.7%
28,0.69%,0.69%
29,0.66%,0.65%
30,0.66%,0.65%
31,0.63%,0.63%
32,0.63%,0.63%
33,0.64%,0.64%
34,0.62%,0.62%
35,0.64%,0.64%
36,0.67%,0.67%
37,0.7%,0.71%
38,0.72%,0.72%
39,0.68%,0.68%
40,0.66%,0.67%
41,0.67%,0.68%
42,0.69%,0.69%
43,0.74%,0.74%
44,0.74%,0.75%
45,0.73%,0.75%
46,0.74%,0.75%
47,0.75%,0.77%
48,0.76%,0.78%
49,0.73%,0.75%
50,0.72%,0.75%
51,0.72%,0.75%
52,0.69%,0.72%
53,0.7%,0.72%
54,0.66%,0.7%
55,0.63%,0.67%
56,0.61%,0.65%
57,0.59%,0.63%
58,0.59%,0.63%
59,0.56%,0.61%
60,0.55%,0.59%
61,0.59%,0.63%
62,0.43%,0.47%
63,0.43%,0.47%
64,0.42%,0.46%
65,0.43%,0.48%
66,0.37%,0.42%
67,0.34%,0.39%
68,0.33%,0.38%
69,0.31%,0.36%
70,0.3%,0.35%
71,0.28%,0.33%
72,0.27%,0.32%
73,0.26%,0.32%
74,0.23%,0.29%
75,0.22%,0.28%
76,0.22%,0.28%
77,0.21%,0.28%
78,0.2%,0.28%
79,0.19%,0.26%
80,0.17%,0.25%
81,0.16%,0.24%
82,0.15%,0.23%
83,0.14%,0.22%
84,0.12%,0.2%
85,0.1%,0.18%
86,0.09%,0.17%
87,0.08%,0.15%
88,0.06%,0.13%
89,0.05%,0.11%
90,0.04%,0.09%
91,0.03%,0.07%
92,0.02%,0.06%
93,0.02%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2007
Age,"Male % of Population","Female % of Population"
0,0.7%,0.67%
1,0.68%,0.65%
2,0.67%,0.64%
3,0.68%,0.65%
4,0.68%,0.65%
5,0.68%,0.65%
6,0.69%,0.66%
7,0.66%,0.64%
8,0.66%,0.63%
9,0.66%,0.63%
10,0.69%,0.66%
11,0.7%,0.67%
12,0.71%,0.68%
13,0.72%,0.68%
14,0.73%,0.69%
15,0.74%,0.71%
16,0.76%,0.72%
17,0.77%,0.73%
18,0.75%,0.71%
19,0.74%,0.7%
20,0.72%,0.69%
21,0.73%,0.69%
22,0.72%,0.68%
23,0.71%,0.67%
24,0.71%,0.68%
25,0.71%,0.7%
26,0.7%,0.7%
27,0.7%,0.7%
28,0.67%,0.66%
29,0.64%,0.63%
30,0.65%,0.64%
31,0.62%,0.62%
32,0.65%,0.65%
33,0.63%,0.63%
34,0.64%,0.64%
35,0.68%,0.68%
36,0.71%,0.72%
37,0.73%,0.73%
38,0.68%,0.69%
39,0.67%,0.68%
40,0.67%,0.68%
41,0.69%,0.7%
42,0.74%,0.75%
43,0.75%,0.76%
44,0.74%,0.76%
45,0.74%,0.76%
46,0.75%,0.77%
47,0.77%,0.79%
48,0.73%,0.76%
49,0.74%,0.76%
50,0.72%,0.75%
51,0.7%,0.73%
52,0.7%,0.73%
53,0.67%,0.7%
54,0.65%,0.68%
55,0.62%,0.65%
56,0.61%,0.64%
57,0.6%,0.64%
58,0.58%,0.61%
59,0.57%,0.61%
60,0.59%,0.63%
61,0.44%,0.48%
62,0.44%,0.48%
63,0.43%,0.47%
64,0.44%,0.48%
65,0.38%,0.43%
66,0.35%,0.4%
67,0.34%,0.39%
68,0.32%,0.37%
69,0.31%,0.36%
70,0.28%,0.33%
71,0.28%,0.33%
72,0.27%,0.33%
73,0.24%,0.3%
74,0.24%,0.3%
75,0.23%,0.29%
76,0.22%,0.29%
77,0.22%,0.29%
78,0.2%,0.27%
79,0.19%,0.27%
80,0.18%,0.25%
81,0.16%,0.24%
82,0.15%,0.24%
83,0.13%,0.22%
84,0.12%,0.2%
85,0.1%,0.18%
86,0.09%,0.17%
87,0.08%,0.15%
88,0.06%,0.12%
89,0.05%,0.11%
90,0.04%,0.09%
91,0.03%,0.07%
92,0.02%,0.06%
93,0.02%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2006
Age,"Male % of Population","Female % of Population"
0,0.69%,0.66%
1,0.68%,0.65%
2,0.68%,0.65%
3,0.68%,0.65%
4,0.68%,0.65%
5,0.69%,0.66%
6,0.67%,0.64%
7,0.66%,0.63%
8,0.66%,0.63%
9,0.67%,0.64%
10,0.71%,0.67%
11,0.71%,0.68%
12,0.72%,0.69%
13,0.73%,0.7%
14,0.74%,0.7%
15,0.76%,0.72%
16,0.78%,0.73%
17,0.75%,0.7%
18,0.74%,0.7%
19,0.73%,0.7%
20,0.73%,0.69%
21,0.73%,0.69%
22,0.71%,0.67%
23,0.72%,0.68%
24,0.72%,0.69%
25,0.72%,0.71%
26,0.7%,0.7%
27,0.67%,0.67%
28,0.65%,0.65%
29,0.64%,0.63%
30,0.64%,0.63%
31,0.64%,0.64%
32,0.63%,0.63%
33,0.65%,0.65%
34,0.68%,0.68%
35,0.72%,0.72%
36,0.74%,0.73%
37,0.69%,0.69%
38,0.68%,0.68%
39,0.68%,0.69%
40,0.7%,0.7%
41,0.75%,0.75%
42,0.76%,0.77%
43,0.75%,0.77%
44,0.75%,0.77%
45,0.76%,0.78%
46,0.78%,0.79%
47,0.75%,0.76%
48,0.74%,0.76%
49,0.73%,0.76%
50,0.7%,0.73%
51,0.71%,0.74%
52,0.67%,0.71%
53,0.65%,0.69%
54,0.63%,0.67%
55,0.61%,0.65%
56,0.61%,0.65%
57,0.59%,0.62%
58,0.58%,0.62%
59,0.6%,0.64%
60,0.44%,0.48%
61,0.45%,0.48%
62,0.44%,0.48%
63,0.45%,0.49%
64,0.39%,0.43%
65,0.36%,0.4%
66,0.35%,0.39%
67,0.33%,0.37%
68,0.32%,0.37%
69,0.3%,0.34%
70,0.28%,0.34%
71,0.28%,0.34%
72,0.25%,0.31%
73,0.25%,0.31%
74,0.24%,0.3%
75,0.23%,0.3%
76,0.23%,0.3%
77,0.21%,0.28%
78,0.2%,0.28%
79,0.19%,0.27%
80,0.17%,0.26%
81,0.16%,0.25%
82,0.15%,0.24%
83,0.13%,0.22%
84,0.12%,0.2%
85,0.1%,0.18%
86,0.09%,0.17%
87,0.07%,0.14%
88,0.06%,0.12%
89,0.05%,0.1%
90,0.04%,0.09%
91,0.03%,0.08%
92,0.02%,0.06%
93,0.02%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2005
Age,"Male % of Population","Female % of Population"
0,0.69%,0.66%
1,0.69%,0.66%
2,0.68%,0.65%
3,0.68%,0.65%
4,0.7%,0.67%
5,0.67%,0.64%
6,0.66%,0.63%
7,0.66%,0.63%
8,0.67%,0.64%
9,0.69%,0.66%
10,0.72%,0.69%
11,0.72%,0.69%
12,0.74%,0.7%
13,0.75%,0.71%
14,0.75%,0.72%
15,0.77%,0.73%
16,0.75%,0.71%
17,0.74%,0.7%
18,0.74%,0.69%
19,0.74%,0.7%
20,0.74%,0.7%
21,0.72%,0.68%
22,0.73%,0.69%
23,0.72%,0.69%
24,0.72%,0.71%
25,0.72%,0.71%
26,0.67%,0.67%
27,0.66%,0.65%
28,0.65%,0.64%
29,0.63%,0.62%
30,0.66%,0.65%
31,0.63%,0.62%
32,0.65%,0.65%
33,0.68%,0.68%
34,0.72%,0.72%
35,0.74%,0.74%
